"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 16 21:04:58 GMT 2024","Tue Jan 16 21:04:58 GMT 2024","477","tests","test_buttons","TestButtons","","","test_rmb_click_button","Test to verify the functionality of the Right Mouse Button click button
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Tue Jan 16 21:04:55 GMT 2024","Tue Jan 16 21:04:56 GMT 2024","510","tests","test_buttons","TestButtons","","","test_double_click_button","Test to verify the functionality of the double click button

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Tue Jan 16 21:05:04 GMT 2024","Tue Jan 16 21:05:08 GMT 2024","4246","tests","test_check_boxes","TestCheckBoxes","","","test_check_boxes[chromium]","Test to verify the checkboxes on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Tue Jan 16 21:05:00 GMT 2024","Tue Jan 16 21:05:01 GMT 2024","564","tests","test_buttons","TestButtons","","","test_dynamic_button","Test to verify the functionality of the dynamic button

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Tue Jan 16 21:05:10 GMT 2024","Tue Jan 16 21:05:13 GMT 2024","2081","tests","test_radio_buttons","TestRadioButtons","","","test_radio_buttons[chromium]","Test to verify the radio buttons on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
